CLAFAM,NOMFAM,CLATAL,TYC,ESCANDALLO,COMPONENTE,SERGAR,GARMONTH,MULTIUNI,CLAUNI,TACTIL,IMAGEN,ORDEN,FAVORITO,IMPCOCINA,VTAONLINE,CLAPARENT,GRUPO,POSIMG,PVPONLINE,PALCLAVE,IMGWEB,IMGWEBP,DESCR,ORDENWEB,ATRIBUTOS,PVPMIN,CLAPRINTER,CLAGCOCINA,NOAGRUPAR,EPIGRAFE
325,PB Antiparasitarios,1,0,0,0,0,0,0,0,0,,0,0,0,0,327,0,0,1,,,,,0,,0,0,0,0,
327,PARABICHOS VET CORNER,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,1,,,,,0,,0,0,0,0,
328,PB Digestivo,1,0,0,0,0,0,0,0,0,,0,0,0,0,327,0,0,1,,,,,0,,0,0,0,0,
329,PB Dermatología,1,0,0,0,0,0,0,0,0,,0,0,0,0,327,0,0,1,,,,,0,,0,0,0,0,
1,PB Alimentación,1,0,0,0,0,0,0,0,0,,0,0,0,0,327,0,0,1,,,,,0,,0,0,0,0,
330,PB Aves,1,0,0,0,0,0,0,0,0,,0,0,0,0,327,0,0,1,,,,,0,,0,0,0,0,
331,PB Varios,1,0,0,0,0,0,0,0,0,,0,0,0,0,327,0,0,1,,,,,0,,0,0,0,0,
332,LENDA Perro,1,0,0,0,0,0,0,0,0,,0,0,0,0,225,0,0,1,,,,,0,,0,0,0,0,
333,LENDA Gato,1,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
334,Lenda Perro Alim Humedo,1,0,0,0,0,0,0,0,0,,0,0,0,0,191,0,0,1,,,,,0,,0,0,0,0,
335,Acana,1,0,0,0,0,0,0,0,0,,0,0,0,0,225,0,0,1,,,,,0,,0,0,0,0,
336,FARMINA Perro,1,0,0,0,0,0,0,0,0,,0,0,0,0,225,0,0,1,,,,,0,,0,0,0,0,
337,GOSBI Perro,1,0,0,0,0,0,0,0,0,,0,0,0,0,225,0,0,1,,,,,0,,0,0,0,0,
338,GOSBI  Perro Alimento Húmedo,1,0,0,0,0,0,0,0,0,,0,0,0,0,191,0,0,1,,,,,0,,0,0,0,0,
339,GOSBI Gato,1,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
340,GOSBI Gato Alimento Húmedo,1,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
341,GOSBI Snacks,1,0,0,0,0,0,0,0,0,,0,0,0,0,179,0,0,1,,,,,0,,0,0,0,0,
342,GOSBI Perro Alimento Húmedo,0,0,0,0,0,0,0,0,0,,0,0,0,0,191,0,0,1,,,,,0,,0,0,0,0,
343,Nature´s Variety Dog,1,0,0,0,0,0,0,0,0,,0,0,0,0,225,0,0,1,,,,,0,,0,0,0,0,
344,Nature´s Variety Cat,1,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
345,NV wet Dog,1,0,0,0,0,0,0,0,0,,0,0,0,0,191,0,0,1,,,,,0,,0,0,0,0,
346,Mascota reptil,1,0,0,0,0,0,0,0,0,,0,0,0,0,100,0,0,1,,,,,0,,0,0,0,0,
347,LENDA Snacks,1,0,0,0,0,0,0,0,0,,0,0,0,0,179,0,0,1,,,,,0,,0,0,0,0,
348,Fresh Cat,1,0,0,0,0,0,0,0,0,,0,0,0,0,26,0,0,1,,,,,0,,0,0,0,0,
349,Gato Comedero Bebedero,1,0,0,0,0,0,0,0,0,,0,0,0,0,193,0,0,1,,,,,0,,0,0,0,0,
350,GOSBI Perro Alimento HÃºmedo,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,0,
351,GOSBI Gato Alimento HÃºmedo,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,0,
352,CHURPI  Natural Snacks,1,0,0,0,0,0,0,0,0,,0,0,0,0,179,0,0,1,,,,,0,,0,0,0,0,
